"Câu hỏi","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng"
"........ đưa ra khái niệm văn hóa doanh nghiệp với nội dung ""Văn hóa doanh nghiệp là tồng hợp các giá trị, các biểu tượng, huyền thoại, nghi thức, các điều cấm kỵ, các quan điểm triết học, đạo đức tạo thành nền móng sâu xa của doanh nghiệp"".","Georges de Saite Marie","Trần Quốc Vượng","Edgar Schein","Trần Ngọc Thêm","A"
"........ trong trách nhiệm XH của Doanh nghiệp là phải sản xuất hàng hóa và dịch vụ mà Xã hội cần và muốn; tìm kiếm nguồn cung ứng lao động; phát hiện những nguồn tài nguyên mới, thúc đầy tiến bộ công nghệ; phát triển sản phẩm; phân phối các nguồn sản xuất hàng hóa, dịch vụ trong hệ thống xã hội.","Nghĩa vụ kinh tế","Nghĩa vu nhân văn","Nghĩa vụ đạo đức","Nghĩa vụ pháp lý","A"
"Theo lý thuyết về phong cách lãnh đạo của Goleman, khi người quản lý khích lệ cấp dưới theo đuổi hoài bão, mục tiêu lâu dài, tạo môi trường năng động, chấp nhận thay đổi, người quản lý áp dụng phong cách lãnh đạo nào dưới đây","Gia trường","Dân chủ","Ủy thác","Bằng hữu","C"
"Phương án nào dưới đây không phải là tiêu chuẩn đánh giá văn hóa doanh nhân","Tiêu chuẩn về tài sản cá nhân","Tiêu chuẩn về đạo đức","Tiêu chuẩn về trình độ năng lực","Tiêu chuẩn về sức khỏe","A"
"Đâu là đặc trưng nào của văn hóa: “Cùng một sự việc nhưng có thể được hiểu và đánh giá khác nhau bởi những người có nền văn hóa khác nhau\"","Văn hóa mang tính cộng đồng","Văn hoa mang tính khách quan","Văn hóa có thể học hỏi","Văn hóa mang tính chủ quan","D"
"Triết lý kinh doanh là những ......... mà doanh nghiệp, doanh nhân và các chủ thể kinh doanh theo đuổi trong quá trình hoạt động của doanh nghiệp.","hành vi/ chuẩn mực","quan niệm/ hành vi","quan niệm/ giá trị","giá trị/ chuẩn mực","C"
"Đặc điểm của giai đoạn thứ 3 trong các giai đoạn hình thành văn hóa doanh nghiệp.","Tất cả đều sai","Giai đoạn này doanh nghiệp phải tập trung tạo ra các giá trị văn hóá khác biệt so với đối thủ canh tranh, củng cố giá trị văn hoá và truyền đạt cho những người mới","Giai đoạn này người sang lap không còn giữ vai trò thống trị hoặc đã chuyển giao quyền lực cho ít nhất hai thế hệ","Giai đoạn này doanh nghiệp không tiếp tục tăng trưởng nữa do thị trường đã bão hoà hoặc do sản phẩm trở nên lỗi thời","B"
"Văn hóa kinh doanh là một hệ thống các giá trị, các chuẩn mực, các quan niệm và hành vi do ... tạo ra trong quá trình kinh doanh, được thể hiện trong cách ứng xử của họ với xã hội, tự nhiên ở một cộng đồng hay một khu vực.","Nhân viên","Nhà nước","Chủ doanh nghiệp","Chủ thể kinh doanh","D"
"Doanh nghiệp có văn hóa mạnh sẽ","Tạo ra niềm tự hào cho nhân viên về doanh nghiệp, từ đó mọi người luôn sống phấn đâu hết mình vì mục tiêu chung","Giúp cho nhân viên thoải mái và chủ động hơn trong việc đinh hướng cách nghĩ và cách làm việc","Cả A, B, C đều đúng","Giúp lãnh đạo dễ dàng hơn trong việc quản lý doanh nghiệp","C"
"\"your way\" - theo cách của bạn (trước đây là ""Tell it your way"") là slogan của doanh nghiệp nào sau đây?","Vinaphone","VNPT","Viettel","FPT","C"
"Ông Nguyễn Đức Tài, Chủ tịch HDQT Công ty cổ phần Thế giới di động đặt toàn bộ niềm tin vào các nhân viên. Ông đồng ý ký khống các hợp đồng thuê mặt bằng bán lẻ để nhân viên có thể ký hợp đồng với chủ nhà nhanh chóng và thuận lợi. Người đứng đầu các bộ phận tự phân công và chịu trách nhiệm về công việc của nhóm. Theo lý thuyết về phong cách lãnh đạo của Rensis Likert, ông Nguyễn Đức Tài có phong cách lãnh đạo","Quyết đoán áp chế","Tham gia theo nhóm","Quyết đoán nhân từ","Tham vấn","B"
"Theo lý thuyết về phong cách lãnh đạo của Goleman, khi người quản lý tạo ra bầu không khí bất lợi do những yêu cầu đặt ra là quá cao, người quản lý áp dụng phong cách lãnh đạo nào dưới đây","Ủy thác","Gia trưởng","Nhạc trưởng","Bề trên","D"
"Các khía cạnh dưới đây KHÔNG thể hiện đạo đức của doanh nhân","Có trình độ chuyên môn tốt","Có trách nhiệm với công việc","Hướng tới điều thiện","Có trách nhiệm với người khác trong tổ chức và ngoài xã hội","A"
"Tính sáng tạo của một dự án khởi nghiệp thường gắn với đặc điểm:","Phù hợp","Mới","Tất cả các phương án A, B, C","Hữu ích","C"
"Nhân tố nào ảnh hưởng lớn nhất đến văn hóa doanh nghiệp?","Sứ mệnh của doanh nghiệp","Văn hóa doanh nhân","Mục tiêu của doanh nghiệp","Đạo đức kinh doanh","B"
"Kế hoach kinh doanh của một dự án khởi nghiệp khi gọi vốn cần phải:","Thật cụ thể, chi tết để dễ dàng thuyết phục nhà đầu tư","Đề cập đến các mục tiêu, cơ hội, phương án về nhân lực, tài chính, marketing, sản xuất nhưng không nên quá chi tiết vì đễ bị sao chép","Chỉ đê cập đến các cơ hội và những đánh giá về cơ hội","Chỉ đề cập khái quát đến các cơ hội để tránh bị sao chép","A"
"Những doanh nhân có tầm nhìn chiến lược tốt thể hiện yếu tố nào trong văn hóa doanh nhân","Tố chất của doanh nhân","Đạo đức của doanh nhân","Không có phương án đúng","Phong cách doanh nhân","A"
"Trách nhiệm XH là nghĩa vụ mà một DN phải thực hiện đối với XH. Có trách nhiệm với XH là tăng đến mức tối đa các ...... và giảm tới mức tối thiểu các ...... đối với XH","tác động tích cực, trách nhiệm","tác động tích cực, hậu quả tiêu cực","nghĩa vụ kinh tế, hậu quả tiêu cực","tác động tiêu cực, hậu quả tiêu cực","B"
"Văn hóa là tổng hoà những ........ cũng như các phương thức tạo ra chúng, kỹ năng sử dụng các giá trị đó vì sự tiến bộ của loài người và sự truyền thụ các giá trị đó từ thế hệ này sang thế hệ khác","Giá trị vật chất và tinh thần","Phong tục và tập quán","Giá trị và thái độ","Tôn giáo và tín ngưỡng","A"
"Ưu điểm của mô hình văn hóa lò ấp trứng là:","Thực hiện công việc hiệu quả có ý nghĩa quyết định và mức độ hoàn thành công việc sẽ là cơ sở đánh giá hiệu quả.","Có sức lôi cuốn các chuyên gia và có tinh thần kỷ luật chéo","Nhiệm vụ do một đội ngũ hay nhóm dự án đảm trách","Sự gắn bó này hoàn toàn tự nguyện, được nuôi dưỡng và bồi đắp bởi hy vọng và lý tưởng, nó có thể trở thành kinh nghiệm quý báu và có ý nghĩa nhất trong cuộc đời con người.","D"
"Đối tượng hữu quan bên ngoài doanh nghiệp không phải là đối tượng nào sau đây:","Chủ sở hữu","Nhà cung cấp","Khách hàng","Đối thủ cạnh tranh","A"
"....... là những thông tin được sử dụng trong quá trình tiến hành hoạt động kinh doanh không được nhiều người biết tới nhưng lại có thể tạo cơ hội cho người sở hữu nó có một lợi thế so với những đối thủ cạnh tranh không biết hoặc không sử dụng những thông tin đó.","Bí mật kinh doanh","Lạm dụng của công","Cáo giác","Phá hoại ngầm","A"
"Quan niệm cho rằng: ""Văn hóa bao gồm mọi năng lực, thói quen và tập quán của con người với tư cách là thành viên của xã hội""","Đúng nhưng chưa đủ","Đúng","Chưa đầy đủ","Sai","B"
"Dạng thức văn hóa doanh nghiệp phổ biến tại Nhật Bản.","Cả 3 đap an đều sai","Văn hóa lò ấp trứng","Văn hoá cộng đồng","Văn hoa tên lửa dẫn đường","C"
"Các cơ hội khởi nghiệp có thể đến từ","Các ý tưởng ngẫu hứng của người khởi nghiệp","Nhu cầu của thị trường","Sự phát triển công nghệ","Cả phương án A và B","D"
